No	TELEX	QNC	CHUNOM	ENG
14767	ngocj theer	ngọc thể	玉體	(từ cũ) your precious person
14768	ngocj thor	ngọc thỏ	玉兎	(từ cũ, văn chương) The moon
14769	ngocj thuwcj	ngọc thực	玉食	(từ cũ) rice
14770	ngocj traiz	ngọc trai	玉𧕚	pearl
14771	ngocs	ngóc		Small branch (of a road) | Lift up
14772	ngocs ddaauf	ngóc đầu	？頭	List one's head, raise one's head | Get better off
14773	ngocs ngachs	ngóc ngách		Narrow and out | of | the | way road
14774	ngoes	ngóe		Marsh frog
14775	ngoez	ngoe		Crab'slegs | New | born baby's cry
14776	ngoez ngoayr	ngoe ngoảy		Waggle, wag
14777	ngoez ngoes	ngoe ngóe		Croak
14778	ngoez ngoez	ngoe ngoe		xem ngoe
14779	ngof	ngò		(địa phương) Coriander
14780	ngoif	ngòi		canal; arroyo | primer; fuse; match
14781	ngoif buts	ngòi bút	？筆	Nib
14782	ngoif noor	ngòi nổ	？弩	Detonator
14783	ngoif vieets	ngòi viết	？曰	nib
14784	ngois	ngói	𤬪	tile
14785	ngois aamz duwowngz	ngói âm dương	𤬪陰陽	Double tile
14786	ngois bof	ngói bò	𤬪𤙭	Ridge | tile
14787	ngois chieeus	ngói chiếu	𤬪𥴜	Flat | tile
14788	ngois mocs	ngói móc	𤬪𢪮	Hook | tile
14789	ngois nocs	ngói nóc	𤬪？	Rigde | tile
14790	ngois oongs	ngói ống	𤬪𨇹	Tube | tile
14791	ngoix	ngõi		(địa phương) Expect
14792	ngoiz	ngoi		Creep strenuously up | Strive toward, struggle for a long time toward the finish
14793	ngoj	ngọ	午	The seventh Earthly Branch (symbolized by the horse) | Noon, midday
14794	ngoj ngoayj	ngọ ngoạy		Wriggle, spuirm
14795	ngomf	ngòm		Pitch [dark], deep [black] | Very [bitter]
14796	ngomr	ngỏm		(thông tục) như ngoẻo
14797	ngomr daayj	ngỏm dậy	？𧻭	Sit up quickly
14798	ngoms	ngóm		Completely, entirely
14799	ngonf	ngòn		Dark [red]
14800	ngonf ngotj	ngòn ngọt		xem ngọt (láy)
14801	ngongf	ngòng		Lanky, ungracefully lanky
14802	ngongf ngoeof	ngòng ngoèo		Winding, twisty
14803	ngongj	ngọng		Lisp. | (khẩu ngữ) Be stupid, be dull
14804	ngongj nghiuj	ngọng nghịu		Lisp
14805	ngongr	ngỏng		Crane | Be in erection
14806	ngongs	ngóng		Wait for, expect
14807	ngongs chowf	ngóng chờ	？䟻	như ngóng trông
14808	ngongs troongz	ngóng trông	？𥉫	Expect, look forward tọ
14809	ngongx	ngõng		Tenon | like axis, tenon | like hinge
14810	ngongz ngongs	ngong ngóng		xem ngóng (láy)
14811	ngonj	ngọn		top; peak; summit
14812	ngonj nganhf	ngọn ngành		in details
14813	ngonj nguoonf	ngọn nguồn		Origin, foundation
14814	ngons	ngón		Finger, teo | Special skill, speciality, trick
14815	ngons chaanz	ngón chân	？蹎	toe
14816	ngonz	ngon		delicious; tasty; succulent
14817	ngonz awnz	ngon ăn	？咹	như ngon xơi
14818	ngonz giaacs	ngon giấc	？聀	Have had a good sleep
14819	ngonz lanhf	ngon lành	？𫅜	Dalicious, tasty, appetizing
14820	ngonz mawts	ngon mắt	？眜	Pleasant | looking, inviting. attractive, tempting
14821	ngonz mieengj	ngon miệng	？𠰘	With great appetite, with good appetite
14822	ngonz ngotj	ngon ngọt		Honeyed, sweet
14823	ngonz ngots	ngon ngót		xem ngót (láy)
14824	ngonz owz	ngon ơ		(thông tục) Very easy
14825	ngonz xowiz	ngon xơi		(thông tục) Easy (job)
14826	ngoocj ngheechj	ngộc nghệch		Like a big dull | head, lubberly
14827	ngoocs	ngốc		stupid; idiot
14828	ngoocs ngaz ngoocs ngheechs	ngốc nga ngốc nghếch		xem ngốc nghếch (láy)
14829	ngoocs ngheechs	ngốc nghếch		như ngốc
14830	ngoof ngooj	ngồ ngộ		xem ngố (láy)
14831	ngooif	ngồi	𡎥	to sit
14832	ngooif duwngz	ngồi dưng	𡎥？	Idle away one's time. become a lazybones from idling away one's time too long
14833	ngooif if	ngồi ì	𡎥？	to sit tight
14834	ngooif khoongz	ngồi không	𡎥空	Idle away one's time
14835	ngooif leez	ngồi lê	𡎥？	Hang aboutgossiping
14836	ngooif rooif	ngồi rồi	𡎥？	Idle away one's time, twiddle one's thumbs
14837	ngooif tuf	ngồi tù	𡎥囚	to go to prison; to jail
14838	ngooiz	ngôi	𡾵	throne | (gram) person
14839	ngooiz baus	ngôi báu	𡾵寶	The throne
14840	ngooiz saoz	ngôi sao	𡾵𣋀	Star | Film star
14841	ngooiz thuws	ngôi thứ	𡾵次	Order of precedence, rank
14842	ngooiz trowif	ngôi trời	𡾵𡗶	như ngôi báu
14843	ngooiz vuaz	ngôi vua	𡾵？	The throne
14844	ngooj	ngộ	誤|悟|晤|遇	Queer, quaint | (thông tục) cute (mỹ) | (địa phương) Rabid | In case
14845	ngooj bieens	ngộ biến	遇變	Meet with misfortune
14846	ngooj camr	ngộ cảm	遇感	Catch [a] cold
14847	ngooj ddaoj	ngộ đạo	悟道	Gnostic
14848	ngooj ddoocj	ngộ độc	遇毒	poisoning
14849	ngooj nanj	ngộ nạn	遇難	Be in danger
14850	ngooj nhaanj	ngộ nhận	誤認	to mistake
14851	ngooj nhowx	ngộ nhỡ	遇？	In case
14852	ngooj sats	ngộ sát	誤殺	Unintentional homicide
14853	ngoomf ngoamf	ngồm ngoàm		Piggish (nói về cách ăn)
14854	ngoongf	ngồng		Tall shoot (of cabbage, tobacco plant...) | Towering
14855	ngoongf ngoongf	ngồng ngồng		xem ngồng (láy)
14856	ngoongx	ngỗng		groose
14857	ngoongz	ngông		Rash; eccentric, peculiar
14858	ngoongz cuoongf	ngông cuồng		eccentric
14859	ngoongz ngheenhz	ngông nghênh		Swagger | Ungracefully (unproportionally) lanky
14860	ngoonj	ngộn		In plenty, plentiful
14861	ngoonr ngangz	ngổn ngang	？昻	Lying about in disorder and in the way
14862	ngoons	ngốn		(thông tục) Gobble, cram, bolt
14863	ngoons ngaaus	ngốn ngấu		Bolt, gobble up; devour
14864	ngoonz hanhf	ngôn hành	言行	(từ cũ) Wards and actions; talk and deeds
14865	ngoonz luaanj	ngôn luận	言論	Speech
14866	ngoonz ngoonr	ngôn ngổn		Dense with
14867	ngoonz nguwx	ngôn ngữ	言語	Language | The Vietnamese language belongs to a language group which was established quite a long time ago in East Asia. However, changes in material conditions over many centuries and the increasing demands of cultural life increased the development of the Vietnamese language, both spoken and written. While adopting many elements of the Chinese language, the Vietnamese people creatively Vietnamized many Chinese words, and they gradually became Han | Viet (Chinese | Vietnamese), incorporated alongside purely Vietnamese words. The Vietnamization was not only applied to the Chinese language however, but also to the French and other languages to create a great, diversified, vital vocabulary for the Vietnamese language
14868	ngoonz nguwx hocj	ngôn ngữ học	言語學	Linguistics
14869	ngoonz tuwf	ngôn từ	言辭	words; language
14870	ngoor	ngổ		Rash, reckless
14871	ngoor ngaos	ngổ ngáo		như ngổ
14872	ngoor nghichj	ngổ nghịch		Wayward and insolent
14873	ngoor nguwowcj	ngổ ngược		Wayward and impertinent
14874	ngoos	ngố		(thông tục) Doltish, dull | headed
14875	ngootj	ngột		Feel suffocated
14876	ngootj ngatj	ngột ngạt	？𠯪	Oppressive, stuffy, stifling
14877	ngoots	ngốt		Grow oppressively hot | Covet
14878	ngoots nguwowif	ngốt người	？𠊛	Stifling, sweltering
14879	ngooz	ngô	吾|吳|𥟊	maize; Indian corn; (V.S) corn
14880	ngooz coongz	ngô công	蜈蚣	(ít dùng) như rết
14881	ngooz khoaiz	ngô khoai	𥟊芌	Maize and sweet potato
14882	ngooz ngheez	ngô nghê		Silly, foolish
14883	ngor	ngỏ		Open
14884	ngor longf	ngỏ lòng	？𢚸	Open one's heart
14885	ngor lowif	ngỏ lời	？𠳒	Speak out, express
14886	ngor ys	ngỏ ý		Make known one's intention, express one's intention
14887	ngos	ngó	𥄭	to see; to look at
14888	ngos ngangf	ngó ngàng	𥄭？	Look at, attend to, see tọ
14889	ngos ngoays	ngó ngoáy	？？	Scrape round (in something hollow) | Don't scrape round in that hole in the wall and enlarge it
14890	ngotj	ngọt		sweet
14891	ngotj buif	ngọt bùi		sweet
14892	ngotj giongj	ngọt giọng	？喠	Leaving a sweetish taste, leaving a delicious taste (nói về đồ
14893	ngotj limj	ngọt lịm		Very sweet | Very tasty, very delicious
14894	ngotj luwf	ngọt lừ		Very tasty, quite delicious
14895	ngotj luwj	ngọt lự		như ngọt lừ
14896	ngotj ngaof	ngọt ngào		Sweet, suave. | To smile and speak suavely
14897	ngotj nhatj	ngọt nhạt		Sugary, smooth (of voice)
14898	ngotj sawcs	ngọt sắc		Cloyingly sweet
14899	ngots	ngót		Diminish, Decrease; become more compact | Nearly, a litter less than
14900	ngowf	ngờ		to suspect; to doubt
14901	ngowf ddaauz	ngờ đâu		Do not think, do not expect
14902	ngowf ngacj	ngờ ngạc		như ngơ ngác (nghĩa mạnh hơn)
14903	ngowf ngowj	ngờ ngợ		xem ngợ (láy)
14904	ngowf vuwcj	ngờ vực		Suspect, doubt
14905	ngowif	ngời		xem sáng ngời
14906	ngowij khenz	ngợi khen	𡅷𠰙	như khen ngợi
14907	ngowiz	ngơi		Knock off
14908	ngowiz tayz	ngơi tay	？𢬣	Grant a respite
14909	ngowj	ngợ		Be not quite certain, be still doubtful
14910	ngowmz ngowps	ngơm ngớp		xem ngớp (láy)
14911	ngowpj	ngợp		Feel dizzy (at altitudes)
14912	ngowps	ngớp		Be frightened,dread
14913	ngows	ngớ		Stupefied
14914	ngows ngaanr	ngớ ngẩn		Stunned, as if out of one's sense
14915	ngowts	ngớt		Abate, subside, cease
14916	ngowts lowif	ngớt lời	？𠳒	
14917	ngowx	ngỡ		to think; to believe
14918	ngowx ngangf	ngỡ ngàng		At fault
14919	ngowz	ngơ		Ignore, overlook, let pass, connive
14920	ngowz ngaanx	ngơ ngẫn		như ngẫn ngơ
14921	ngowz ngacs	ngơ ngác		dazed; bewilldered
14922	ngowz ngaos	ngơ ngáo		Be bewildered, be dazed
14923	ngox	ngõ		gate
14924	ngox cutj	ngõ cụt		Blind alley, cul | de | sac
14925	ngox haauf	ngõ hầu		In order tọ
14926	ngox hemr	ngõ hẻm		alley
14927	ngox ngachs	ngõ ngách		Nook and cranny | (nghĩa bóng) Minute detail, smallest detail
14928	ngucj	ngục	獄	prison; jail; gaol
14929	ngucj hinhf	ngục hình	獄刑	Imprisonment
14930	ngucj laij	ngục lại	獄吏	(từ cũ) Gaoler, jailer, gaol
14931	ngucj thaats	ngục thất	獄室	Prison, jailer, jailor
14932	ngucj toois	ngục tối	獄𣋁	Dark jail, sinister gaol
14933	ngucj toots	ngục tốt	獄卒	(từ cũ) Guard, warder
14934	ngucj tuf	ngục tù	獄囚	Prison
14935	nguf	ngù		Tassel
14936	nguf ngowf	ngù ngờ		Like a dullard, doltish
14937	nguj	ngụ	寓	to live; to dwell
14938	nguj cuwz	ngụ cư	寓居	Reside (in a strange place)
14939	nguj ngoonz	ngụ ngôn	寓言	fable
14940	nguj ys	ngụ ý	寓意	Imply
14941	ngumj	ngụm		Mouthful, gulp, draught
14942	ngumr	ngủm		(địa phương) như ngỏm
14943	nguooif nguooij	nguồi nguội		xem nguội (láy)
14944	nguooij	nguội		cool; cold
14945	nguooij ddieenj	nguội điện		(thông tục) Be cold in death pop off | (như) nguội
14946	nguooij lanhj	nguội lạnh		Very cold
14947	nguooij ngawts	nguội ngắt		Freezing terribly cold (of food)
14948	nguooij tanhz	nguội tanh		như nguội ngắt
14949	nguooiz	nguôi		Subside, become appeased, becomeless sharp (severe), cool down, calm down
14950	nguooiz nguooiz	nguôi nguôi		xem nguôi (láy)
14951	nguoonf	nguồn		source; spring
14952	nguoonf cownz	nguồn cơn		Ins and outs, head and tail
14953	nguoonf goocs	nguồn gốc		source; origin
14954	ngupj	ngụp		Dive, plunge (into the water)
14955	ngur	ngủ	𥄬	to sleep; to be asleep
14956	ngur daayj	ngủ dậy	𥄬𧻭	Get up
14957	ngur gaatj	ngủ gật	𥄬？	Nod
14958	ngur gaf	ngủ gà	𥄬𪃿	Doze, drowse
14959	ngur gucj	ngủ gục	𥄬？	(địa phương) như ngủ gật
14960	ngur khif	ngủ khì	𥄬？	Sleep like a log, sleep soundly, be fast asleep, be dead to the world
14961	ngur langz	ngủ lang	𥄬？	Put up indiscriminately at others' houses
14962	ngur meez	ngủ mê	𥄬迷	Dream | Sleep soundly, sleep like a log (tops)
14963	nguwaf	ngừa	𢳶	Prevent
14964	nguwaj	ngựa	馭	horse
14965	nguwaj cais	ngựa cái	馭丐	mare
14966	nguwaj ngheox	ngựa nghẽo	馭？	(xấu) Jade, hack
14967	nguwaj nguwowif	ngựa người	馭𠊛	(mỉa) Rickshaw | driver (thời thuộc Pháp)
14968	nguwaj ooz	ngựa ô	馭烏	black horse
14969	nguwaj trowif	ngựa trời	馭𡗶	Mantis
14970	nguwaj vawnf	ngựa vằn	馭？	Zebra
14971	nguwar	ngửa	𠑕	with face upward, on one's back | Turn upward
14972	nguwar tayz	ngửa tay	𠑕𢬣	Beg
14973	nguwas	ngứa		to itch
14974	nguwas mawts	ngứa mắt	？眜	Shock the eyes; feel uneasy at seeing something shocking the eyes
14975	nguwas mieengj	ngứa miệng	？𠰘	nh ngứa mồm
14976	nguwas moomf	ngứa mồm	？𠵘	(thông tục) cũng nói ngứa miệng +Feel like speaking (even out of turn), cannot help speaking, be itching to speak
14977	nguwas ngays	ngứa ngáy		như ngứa | Fidget, be spoiling for
14978	nguwas ngheef	ngứa nghề		(thông tục) feel sexual urge, feel aroused
14979	nguwas taiz	ngứa tai	？𦖻	Shock the ears; feel uncomfortable at hearing something shocking the ears
14980	nguwas tayz	ngứa tay	？𢬣	Feel the urge of doing something someone is bungling | Be itching to strike (someone)
14981	nguwas tieets	ngứa tiết		(khẩu ngữ) Have one's blood up, be fiare by one's anger to action, flare up
14982	nguwcj	ngực		chest; breast; borom
14983	nguwir	ngửi		Sniff, smell
14984	nguwj	ngự	御	Be seated in a stately way | Royal
14985	nguwj suwr	ngự sử	御史	Royal adviser (in charge of preventing the rule from doing wrong)
14986	nguwj yz	ngự y	御醫	royal physician
14987	nguwngf	ngừng		to stop; to draw up
14988	nguwngf bawns	ngừng bắn		Cease fire
14989	nguwngf buts	ngừng bút	？筆	finish writing (a letter)
14990	nguwngf buwowcs	ngừng bước	？𨀈	Stop advancing, stop [going], come to a stop
14991	nguwngf tayz	ngừng tay	？𢬣	Knock off
14992	nguwngf treej	ngừng trệ		Come to standstill, stagnate
14993	nguwngr	ngửng		Raise, turn up, lift
14994	nguwngz	ngưng	凝	Condense | Cease, stop, knock off, interrupt, break, suspend
14995	nguwngz ddongj	ngưng đọng	凝？	Be at a standstill
14996	nguwngz treej	ngưng trệ	凝滯	Come to a standstill, stagnate
14997	nguwngz tuj	ngưng tụ	凝聚	(vật lý) Condense
14998	nguwowcj	ngược		Upside down | Against (the wind, the tide), windward | Contrary, opposite
14999	nguwowcj ddaix	ngược đãi	虐待	to maltreat; to ill | treat
15000	nguwowcj ddowif	ngược đời	？𠁀	Nonsensical, absurd
15001	nguwowcj dongf	ngược dòng	？𣳔	Upstream
15002	nguwowcj laij	ngược lại	？吏	Contrary tọ | On the contrary | To the contrary
15003	nguwowcj mawts	ngược mắt	？眜	Unsightly
15004	nguwowcj ngaoj	ngược ngạo		Insolent
15005	nguwowcs	ngước		Raise [one's eyes]
15006	nguwowif	người	𠊛	man; person; people; individual
15007	nguwowif beenhj	người bệnh	𠊛病	Patient
15008	nguwowif chuwngs	người chứng	𠊛證	Witness
15009	nguwowif ddepj	người đẹp	𠊛𢢲	beautiful woman; handsome
15010	nguwowif ddieenz	người điên	𠊛癲	madman
15011	nguwowif ddowif	người đời	𠊛𠁀	the people at large, the world at large | Dullard, dolt
15012	nguwowif duwngz	người dưng	𠊛？	Strange
15013	nguwowif haauf	người hầu	𠊛侯	Servant, valel
15014	nguwowif hungf	người hùng	𠊛雄	He | man
15015	nguwowif laj	người lạ	𠊛𨔍	Strange, strange person
15016	nguwowif lamf	người làm	𠊛爫	Emplyee; servant
15017	nguwowif lowns	người lớn	𠊛𣁔	Adult, grown | up
15018	nguwowif nguwowif	người người	𠊛𠊛	All and sundry, everyone, one and all
15019	nguwowif owr	người ở	𠊛扵	(cũ) Servant
15020	nguwowif taz	người ta	𠊛些	people; they; one; you
15021	nguwowif thieenz coor	người thiên cổ	𠊛先古	(văn chương) the dead
15022	nguwowif tinhf	người tình	𠊛情	Lover
15023	nguwowif vuwownj	người vượn	𠊛？	Pithecanthrope
15024	nguwowif xuwaz	người xưa	𠊛𠸗	The ancients
15025	nguwowif yeeuz	người yêu	𠊛㤇	lover; sweet | heart
15026	nguwowiz	ngươi		(cũ) Thou, thee | (biến âm của người) Man
15027	nguwowngf nguwowngj	ngường ngượng		xem ngượng (láy)
15028	nguwowngj	ngượng		ashamed
15029	nguwowngj mawtj	ngượng mặt	？𩈘	Ashamed
15030	nguwowngj moomf	ngượng mồm	？𠵘	Feel too awkward (embarrassed) to speak, be silenced by a feeling of awkwardness
15031	nguwowngj ngaapj	ngượng ngập		Feel awkward
15032	nguwowngj nghiuj	ngượng nghịu		awkward
15033	nguwowngj ngungf	ngượng ngùng		slightly ashamed
15034	nguwowngx	ngưỡng	仰	Threshold
15035	nguwowngx cuwar	ngưỡng cửa	？𨷶	threshold, doorstep
15036	nguwowngx mooj	ngưỡng mộ	仰慕	to look up; to admire
15037	nguwowngx vongj	ngưỡng vọng	仰望	Expect favours from above, expect fulfilment of one's wishes by higher level
15038	nguwuz	ngưu	牛	ngưu nhũ cow's milk
15039	nguwuz ddaauj	ngưu đậu	牛痘	Cow | pox
15040	nguwx	ngữ	語	Measure, limit, moderation | Despicable fellow
15041	nguwx aamz	ngữ âm	語音	Phonic
15042	nguwx aamz hocj	ngữ âm học	語音學	Phonetics
15043	nguwx canhr	ngữ cảnh	語境	Context
15044	nguwx ddieeuj	ngữ điệu	語調	Intonation
15045	nguwx ddoanj	ngữ đoạn	語段	(ngôn ngữ) Syntagm
15046	nguwx heej	ngữ hệ	語系	family (of languages)
15047	nguwx hocj	ngữ học	語學	(ít dùng) như ngôn ngữ học
15048	nguwx khis	ngữ khí	語氣	Tone, intonation
15049	nguwx ngoonz hocj	ngữ ngôn học	語言學	như ngôn ngữ học
15050	nguwx phaps	ngữ pháp	語法	syntax grammar
15051	nguwx vawnz	ngữ văn	語文	Philology
15052	nguwz cuj	ngư cụ	漁具	Fishing | tackle
15053	nguwz daanz	ngư dân	漁民	Fisherman
15054	nguwz longz	ngư long	魚龍	(địa lý) Ichthyosaurus
15055	nguwz looiz	ngư lôi	魚雷	Torpedo
15056	nguwz oongz	ngư ông	漁翁	Fisher, fisherman. | Resting on his oars, the fisher returned to his distant place
15057	nguwz phur	ngư phủ	漁甫	fisherman
15058	nguwz tieeuf	ngư tiều	漁樵	(cũ)fisherman and firewoodman
15059	nguwz truwowngf	ngư trường	漁場	fishery, fishing | ground
15060	ngux	ngũ	五|伍	five
15061	ngux aamz	ngũ âm	五音	The five notes (of the traditional musical scale)
15062	ngux booij tuwr	ngũ bội tử	五倍子	(thực vật, dược) Gall | nut
15063	ngux coocs	ngũ cốc	五穀	Cereals, grain food | stuffs
15064	ngux ddaij	ngũ đại	五代	Five generations
15065	ngux ddoanr	ngũ đoản	五短	Short | limbed
15066	ngux giacs ddaif	ngũ giác đài	五角臺	The Pentagon
15067	ngux giowis	ngũ giới	五界	The five nays (of Buddhism) (no killing of animals, no stealing, no sex, no vulgar speech, no alcohol drinking)
15068	ngux hanhf	ngũ hành	五行	The five basic elements (metal, wood, water, fire, earth, according to Eastern plilosopky)
15069	ngux hinhf	ngũ hình	五刑	(từ cũ) The five punishments (death, banishment for life) deportation, imprisonment, fine)
15070	ngux ngoonz	ngũ ngôn	五言	Five | word verse
15071	ngux quanz	ngũ quan	五官	the five senses.
15072	ngux quar	ngũ quả	五果	The five fruits (banana, oranges, kumquats, pomelos, finger citrons)
15073	ngux sawcs	ngũ sắc	五色	The five primary colours (blue, ye;;ow, red, white, black)
15074	ngux tangj	ngũ tạng	五臟	The five inner parts innards
15075	ngux thuwowngf	ngũ thường	五常	The five constant virtues (in feudal ethics) (benevolence, righteousness, proprieties, wisdom and fidelity)
15076	ngux tuaanf	ngũ tuần	五旬	Fifty years (of age)
15077	ngux vij	ngũ vị	五味	the five tastes
15078	nguyeenj vongj	nguyện vọng	願望	aspiration
15079	nguyeenx duwx	Nguyễn Dữ	阮餘	Born in an intellectual family, the writer Nguyễn Dữ (16th century) graduated as bachelor. His native village was in Thanh Miên, Hải Dương. He had nurtured a good will for society, but later, became disheartened and led a secluded life. Nguyễn Dữ was the author of Truyền Kỳ Mạn Lục
15080	nguyeenx duz	Nguyễn Du	阮攸	Nguyễn Du (1766 | 1820) | a great classical poet | had Tiên Điền (Nghi Xuân, Hà Tĩnh) as native land. Nguyễn Du was descended from a noble mandarin family (his father and his elder brother had been prime ministers of Nhà Hậu Lê), but he himself had to pass through many hardships in the 18th century full of troubles. Famous for writing talent, he only graduated as junior bachelor. In 1802, as a mandarin of Nhà Nguyễn, he was hauntingly worried about the current circumstances. His works were both realistic and romantic. He was the author of Truyện Kiều (a very popular poetic masterpiece), Văn Chiêu Hồn, Bắc Hành Tạp Lục and Nam Trung Tạp Ngâm. World Peace Council classifies Nguyễn Du among+memorable cultural celebrities in the world
15081	nguyeenx traix	Nguyễn Trãi	阮廌	Nguyễn Trãi (1380 | 1442) | a great politician, strategist, diplomat, poet | was born in Thăng Long, and his paternal village located in Nhị Khê (Thường Tín | Hà Tây). His mother was the daughter of Trần Nguyên Đán (a high | ranking mandarin of Nhà Trần). His father was Nguyễn Phi Khanh who had graduated as doctor. At the age of 20, Nguyễn Trãi also graduated as doctor and served in the Hồ dynasty like his father. On the occurence of the Chinese invasion, Nguyễn Phi Khanh was captured and marched off to China. Nguyễn Trãi was kept under surveillance in Đông Quan (Thăng Long). Later, he fled in Lam Sơn to follow Lê Lợi (future Lê Thái Tổ), submitted Bình Ngô Sách (strategies of the people's war against the Ming invasion). After the enemy had been completely expelled, Nguyễn Trãi did his best to help Lê Lợi in the national reconstruction. In 1442, because of dishonest mandarins' great harm, Nguyễn Trãi and all his three related families were exterminated. His famous works were Bình Ngô Đại Cáo, Quân Trung Từ Mệnh Tập, Quốc Âm Thi Tập...
15082	nguyeenz canhz	nguyên canh	原耕	Present state of exploitation; present exploiter (of land)
15083	nguyeenz chaats	nguyên chất	原質	pure; fine
15084	nguyeenz dangj	nguyên dạng	原樣	Original form
15085	nguyeenz hinhf	nguyên hình	原形	True colours, true [evil] nature, cloven hoof
15086	nguyeenz nhaanz	nguyên nhân	原因	cause; reason
15087	nguyeenz nhaanz hocj	nguyên nhân học	原因學	Etiology
15088	nguyeenz nieenz	nguyên niên	元年	First year of rule's reign
15089	nguyeenz quans	nguyên quán	原貫	Native country, birth | place
15090	nguyeenz sinhz	nguyên sinh	原生	Proteozoic
15091	nguyeenz sinhz chaats	nguyên sinh chất	原生質	(sinh học) Protoplasma
15092	nguyeenz sinhz ddoongj vaatj	nguyên sinh động vật	原生動物	Protozoa
15093	nguyeenz soais	nguyên soái	元帥	Field marshal, marshal | (cũng nói) nguyên súy
15094	nguyeenz tawcs	nguyên tắc	原則	priciple; fundamental
15095	nguyeenz thuyr	nguyên thủy	原始	Primitive
15096	nguyeenz tuwr	nguyên tử	原子	atom
15097	nguyeenz tuwr atomz	nguyên tử atom	原子atom	Năng lượng nguyên tử atomic energy
15098	nguyeenz vaatj lieeuj	nguyên vật liệu	原物料	Raw and working material
15099	nguyeetj bachj	nguyệt bạch	月白	Màu nguyệt bạch | Pale white
15100	nguyeetj caamf	nguyệt cầm	月琴	moonshaped guitar
15101	nguyeetj lieemx	nguyệt liễm	月斂	Monthly fees (paid to an association...) | cũng nói nguyệt phí
15102	nguyeetj thuwcj	nguyệt thực	月食	Lunar eclipse
15103	nguyj	ngụy	偽|魏	Quisling, puppet., Mighty mischievous
15104	nguyj binhz	ngụy binh	偽兵	cũng nói ngụy quân Quisling troops, puppet troops
15105	nguyj taoj	ngụy tạo	偽造	Counterfeit, made up
15106	nguyj trangz	ngụy trang	偽裝	to camovylage
15107	nguyj trieeuf	ngụy triều	偽朝	(sử học) Dynasty of usurpers
15108	nguyj vaanj	ngụy vận	偽運	Carry out agitation and propaganda among quislings
15109	nguyz hieemr	nguy hiểm	危險	dangerous; risky; perilous; awkward
15110	nguyz ngaz	nguy nga	巍峨	splendid; magnificent
15111	nguz	ngu	虞|愚	stupid; foolish; doltish
15112	nguz daanz	ngu dân	愚民	stupid people
15113	nguz daij	ngu dại	愚？	Silly, foolish
15114	nguz doots	ngu dốt	愚？	Foolish and ignorant, siily and ignorant
15115	nguz huynhz	ngu huynh	愚兄	(từ cũ) Your modest elder
15116	nguz muooij	ngu muội	愚昧	Completely dim | headed
15117	nguz ngoocs	ngu ngốc	愚呆	Dull, dull | headed
15118	nguz ngowz	ngu ngơ	愚？	Naively silly
15119	nguz phuz nguz phuj	Ngu phu ngu phụ	愚夫愚婦	(từ cũ) Ngu phu ngu phụ | The common people, she rabble
15120	nguz siz	ngu si	愚？	Thick | headed
15121	nguz xuaanr	ngu xuẩn	愚蠢	Utterly stupid
15122	nguz ys	ngu ý	愚意	(từ cũ) My humble opinion, my humble idea
15123	nhaacs	nhấc		như nhắc
15124	nhaamf	nhầm		như lầm
15125	nhaamf laanx	nhầm lẫn		như lầm lẫn
15126	nhaamf nhowx	nhầm nhỡ		như lầm lỡ
15127	nhaamj chuwcs	nhậm chức	任職	Take up an appoinment
15128	nhaamr	nhẩm		revise silently, try to memorize | Whisper, say under one's breath | (thông tục) Pocket
15129	nhaams	nhấm		Gnaw at
15130	nhaams nhaps	nhấm nháp		xem nhắm nháp
15131	nhaams nhawngr	nhấm nhẳng		Blow hot and cold, shuffle
15132	nhaams nhays	nhấm nháy		Wink
15133	nhaamz	nhâm		The night Heavenly Stem
15134	nhaanf nhaanj	nhần nhận		Somewhat [bitter]
15135	nhaangz nhaangz	nhâng nhâng		Sameless, brazen | faced
15136	nhaangz nhaos	nhâng nháo		Impertinent, insolent
15137	nhaanj	nhận	刃|認|韌	to agree ; to accept; to acquiesce | To get; to receive
15138	nhaanj bieets	nhận biết	認别	to realize, to recognize ; to identify
15139	nhaanj camr	nhận cảm	認感	(sinh lý) Receptor
15140	nhaanj chaanz	nhận chân	認真	Realize plainly
15141	nhaanj chimf	nhận chìm	認？	to dip, to sink
15142	nhaanj ddinhj	nhận định	認定	to judge
15143	nhaanj dieenj	nhận diện	認面	Identify
15144	nhaanj lowif	nhận lời	認𠳒	to accept, to agree
15145	nhaanj mawtj	nhận mặt	認𩈘	to identify
15146	nhaanj raz	nhận ra	認𠚢	to recognize ; to realize
15147	nhaanj thaays	nhận thấy	認𧡊	Realize, understand
15148	nhaanj thuwcs	nhận thức	認識	to know; to recognize; to conceive
15149	nhaanj thuwcs luaanj	nhận thức luận	認識論	Gnoseologỵ nhận thực | Certify
15150	nhaanj tooij	nhận tội	認罪	Admit one's sin, acknowledge a fault
15151	nhaanj vieecj	nhận việc	認役	Take up a job
15152	nhaanj xets	nhận xét	認𪹾	Comment, judge
15153	nhaans	nhấn		Press, touch
15154	nhaans manhj	nhấn mạnh	？孟	to stress; to emphasize; to press
15155	nhaanx	nhẫn	忍	ring | bitter ; slightly
15156	nhaanx naij	nhẫn nại	忍耐	to endure; to be patient
15157	nhaanx nhucj	nhẫn nhục	忍辱	Swallow the bitter pill, eat the leek, endure all indignities
15158	nhaanx taamz	nhẫn tâm	忍心	to be cruel; heartless ; merciless
